Train Caffe Model Done,,,,,,,,,,
/home/ubuntu/ImageSet/Level0_PNG/1302_left.png ,Level0 PNG ,97.26%,Level1 PNG ,1.98%,Level2 PNG ,0.72%,Level4 PNG ,0.02%,Level3 PNG ,0.01%
/home/ubuntu/ImageSet/Level0_PNG/10_right.png ,Level0 PNG ,59.95%,Level2 PNG ,26.07%,Level1 PNG ,13.23%,Level4 PNG ,0.5%,Level3 PNG ,0.25%
/home/ubuntu/ImageSet/Level0_PNG/1393_left.png ,Level0 PNG ,83.12%,Level2 PNG ,13.98%,Level1 PNG ,2.68%,Level4 PNG ,0.16%,Level3 PNG ,0.06%
/home/ubuntu/ImageSet/Level0_PNG/10239_right.png ,Level2 PNG ,49.0%,Level4 PNG ,40.84%,Level1 PNG ,5.97%,Level3 PNG ,2.63%,Level0 PNG ,1.55%
/home/ubuntu/ImageSet/Level0_PNG/1513_left.png ,Level1 PNG ,61.15%,Level0 PNG ,31.62%,Level2 PNG ,7.06%,Level4 PNG ,0.14%,Level3 PNG ,0.03%
/home/ubuntu/ImageSet/Level0_PNG/10427_right.png ,Level0 PNG ,98.78%,Level1 PNG ,0.96%,Level2 PNG ,0.23%,Level4 PNG ,0.03%,Level3 PNG ,0.0%
/home/ubuntu/ImageSet/Level0_PNG/1011_left.png ,Level0 PNG ,93.63%,Level2 PNG ,4.5%,Level4 PNG ,1.13%,Level1 PNG ,0.73%,Level3 PNG ,0.0%
/home/ubuntu/ImageSet/Level0_PNG/10328_left.png ,Level0 PNG ,98.58%,Level1 PNG ,0.78%,Level2 PNG ,0.63%,Level4 PNG ,0.01%,Level3 PNG ,0.0%
/home/ubuntu/ImageSet/Level0_PNG/10232_left.png ,Level0 PNG ,89.53%,Level1 PNG ,4.67%,Level2 PNG ,4.03%,Level3 PNG ,1.4%,Level4 PNG ,0.37%
/home/ubuntu/ImageSet/Level0_PNG/1678_left.png ,Level0 PNG ,84.96%,Level2 PNG ,13.06%,Level1 PNG ,1.8%,Level3 PNG ,0.16%,Level4 PNG ,0.01%
/home/ubuntu/ImageSet/Level0_PNG/10343_left.png ,Level0 PNG ,62.19%,Level2 PNG ,29.01%,Level1 PNG ,7.96%,Level4 PNG ,0.74%,Level3 PNG ,0.1%
