Train Caffe Model Done,,,,,,,,,,
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10623_left.png ,Level2 PNG ,51.1500%,Level0 PNG ,45.4100%,Level1 PNG ,3.4400%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1330_left.png ,Level4 PNG ,87.9400%,Level1 PNG ,9.5600%,Level2 PNG ,2.500%,Level0 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10705_left.png ,Level0 PNG ,60.5900%,Level1 PNG ,39.4100%,Level2 PNG ,0%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1297_right.png ,Level1 PNG ,99.9800%,Level2 PNG ,0.0200%,Level0 PNG ,0%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10475_right.png ,Level2 PNG ,97.3500%,Level0 PNG ,1.9200%,Level1 PNG ,0.7300%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1096_left.png ,Level2 PNG ,100%,Level1 PNG ,0%,Level3 PNG ,0%,Level0 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1373_right.png ,Level0 PNG ,55.1900%,Level2 PNG ,33.2200%,Level1 PNG ,10.300%,Level4 PNG ,1.2800%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10134_right.png ,Level0 PNG ,94.6500%,Level2 PNG ,4.5700%,Level1 PNG ,0.7700%,Level3 PNG ,0.0100%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1272_left.png ,Level2 PNG ,98.9400%,Level0 PNG ,1.0500%,Level1 PNG ,0%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1035_right.png ,Level1 PNG ,100%,Level2 PNG ,0%,Level0 PNG ,0%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10014_right.png ,Level4 PNG ,93.2900%,Level1 PNG ,3.300%,Level0 PNG ,2.4800%,Level2 PNG ,0.9300%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/102_right.png ,Level0 PNG ,99.9600%,Level3 PNG ,0.0400%,Level2 PNG ,0%,Level1 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/125_right.png ,Level0 PNG ,75.5100%,Level1 PNG ,22.9600%,Level4 PNG ,0.7700%,Level2 PNG ,0.7500%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10_left.png ,Level0 PNG ,99.2700%,Level4 PNG ,0.3800%,Level1 PNG ,0.200%,Level2 PNG ,0.1500%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1188_right.png ,Level0 PNG ,94.900%,Level2 PNG ,4.9300%,Level1 PNG ,0.1800%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1771_right.png ,Level0 PNG ,97.8600%,Level1 PNG ,2.1400%,Level3 PNG ,0%,Level2 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1588_left.png ,Level2 PNG ,51.1500%,Level0 PNG ,45.4100%,Level1 PNG ,3.4400%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1507_left.png ,Level4 PNG ,87.9400%,Level1 PNG ,9.5600%,Level2 PNG ,2.500%,Level0 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10560_left.png ,Level0 PNG ,60.5900%,Level1 PNG ,39.4100%,Level2 PNG ,0%,Level3 PNG ,0%,Level4 PNG ,0%
